institution_name,Fiscal Year,timestep,reverse_timestep,EUI-Adjusted Floor Space,gsf,Weighted Campus User,fte_per_gsf,Maintained Acres,Total Enrollment (FTE)2,Faculty (FTE)3,Staff (FTE)4,E-Grid Pre-2006,E-Grid,Scope 1 Emissions,Scope 2 Emissions,Scope 3 Emissions,Gross Emissions,Net Emissions,net_mtcde_per_gsf,Stationary Emissions,Fleet Emissions,Refrigerant Emissions,Agricultural Emissions,Purchased Electric Emissions,Purchased Steam Emissions,Purchased Chilled Water Emissions,Student Community Emissions,Employee Commuting Emissions,Other Travel Emissions,Waste Emissions,Wasterwater  Emissions,Paper Emissions,T&D Losses Emissions,Landfilled Waste,Incinerated Waste,C&D Waste,Recycling,Compost,Other,Waste
e,2012,10,9,"711,960",711960,"1,764",0.00248,43,1618,145,197,NEWE,NEWE,2569.602613,1299.418915,3077.58083,6946.602358,"6,946.60",0.00976,2260.180756,149.4831616,157.2840615,2.654634612,1299.418915,0,0,441.4373813,341.9472524,2121.030416,-0.528,6.559101775,35.94310558,131.1915725,17.6,0,0,109.38,39,0,165.98
e,2014,12,7,"715,336",715336,"2,012",0.00281,43,1874,165,220,NEWE,NEWE,2895.584891,1164.11135,3441.633483,7501.329724,"7,501.33",0.01049,2642.441675,93.20451959,157.2840615,2.654634612,1164.11135,0,0,599.5585472,384.7814485,2354.138628,-0.6042,7.307069521,35.56981198,60.88217834,20.14,0,0,101.85,20.79,0,142.78
e,2015,13,6,"715,336",715336,"2,079",0.00291,43,1928,170,222,NEWE,NEWE,2880.126808,1239.184965,3316.925187,7436.236961,"7,436.24",0.0104,2636.660649,83.52746332,157.2840615,2.654634612,1239.184965,0,0,568.687737,391.0603327,2250.333304,-0.6042,5.257398485,37.38214071,64.80847394,20.14,0,0,84.84,60,0,164.98
e,2016,14,5,"715,336",715336,"2,162",0.00302,43,2013,175,227,NEWE,NEWE,2462.257156,1272.388597,3632.955159,7367.600912,"7,367.60",0.0103,2215.350945,86.96751563,157.2840615,2.654634612,1272.388597,0,0,609.0939709,414.6596857,2501.842774,-0.75,5.16781226,36.39591611,66.54499974,25,0,0,191,41.322,0,257.322
e,2017,15,4,"715,336",715336,"2,186",0.00306,43,2013,175,227,NEWE,NEWE,2462.257156,1272.388597,3632.955159,7367.600912,"7,367.60",0.0103,2215.350945,86.96751563,157.2840615,2.654634612,1272.388597,0,0,609.0939709,414.6596857,2501.842774,-0.75,5.16781226,36.39591611,66.54499974,25,0,0,191,41.322,0,257.322
f,2009,7,12,"682,815",682815,"3,953",0.00579,43,4723,247,301,NEWE,NEWE,2427.310029,3759.174591,4356.463206,10542.94783,"10,542.95",0.01544,2256.192168,168.4159979,0,2.701863393,3759.174591,0,0,2424.09539,666.0899637,812.6171283,-7.11,8.292287191,80.6919385,371.7864981,237,0,0,74,0,43,354
f,2010,8,11,"723,591",723591,"4,053",0.0056,43,4859,245,300,NEWE,NEWE,2249.613887,3635.903892,4307.831808,10193.34959,"10,193.35",0.01409,2115.882446,129.6786459,0,4.052795089,3635.903892,0,0,2527.757939,705.6934096,772.0870689,-6.75,6.891563004,77.42448324,224.7273443,225,0,0,83,0,31,339
f,2011,9,10,"757,301",757301,"4,214",0.00556,43,5062,258,299,NEWE,NEWE,2490.385089,3505.492783,4524.383636,10520.26151,"10,520.26",0.01389,2362.62125,123.598466,0,4.16537273,3505.492783,0,0,2491.976297,721.7792629,1022.913378,-7.59,5.688292625,72.94949017,216.6669161,253,0,0,78,0,23,354
f,2012,10,9,"757,301",757301,"4,356",0.00575,43,5229,265,315,NEWE,NEWE,2300.506039,2996.769338,4717.113116,10014.38849,"10,014.39",0.01322,2000.889562,120.6483088,173.5081534,5.460015606,2996.769338,0,0,2709.550678,810.3414439,825.4699182,-11.2872,6.180188321,74.29909126,302.5589958,376.24,0,0,76,0,17,469.24
f,2014,12,7,"766,697",766697,"4,526",0.0059,43,5437,269,329,NEWE,NEWE,3246.310684,2416.035848,6138.32673,11800.67326,"11,800.67",0.01539,3018.431424,125.4469239,98.52026276,3.912073037,2416.035848,0,0,3790.342717,1174.458322,975.0786701,-10.9413,6.31723334,76.71416688,126.3569206,364.71,0,0,117.24,18,30,529.95
